selection,method,primary_method,shared_rank,gene,gene_short_name,scsketch_correlation,orientation_adjusted_scsketch_correlation,method_pseudotime_correlation,method_q_value,path_progress_pseudotime_spearman_r
Selection 1,PAGA/DPT,True,27,WBGene00004207,ptb-1,0.6619683481057925,0.6619683481057925,0.6322093772006473,9.721304214942423e-69,0.9740777371856735
Selection 1,PAGA/DPT,True,28,WBGene00018213,F39H12.2,0.6476690617801657,0.6476690617801657,0.7143554498806176,4.191157549822983e-96,0.9740777371856735
Selection 1,PAGA/DPT,True,29,WBGene00004926,snt-6,0.6472263777314697,0.6472263777314697,0.5771038924863875,1.3669179930792163e-54,0.9740777371856735
Selection 1,PAGA/DPT,True,30,WBGene00016016,C23G10.10,0.6432895569614502,0.6432895569614502,0.6999989842434272,1.2663554308970893e-90,0.9740777371856735
Selection 1,PAGA/DPT,True,31,WBGene00017150,EGAP5.1,0.6361733458957213,0.6361733458957213,0.6932484805219638,3.4998373905835596e-88,0.9740777371856735
Selection 1,PAGA/DPT,True,32,WBGene00009716,F44G4.7,0.626336312779557,0.626336312779557,0.6837612365156649,7.556656854221957e-85,0.9740777371856735
Selection 1,PAGA/DPT,True,33,WBGene00019269,H41C03.2,0.6248412886016607,0.6248412886016607,0.690504022189857,3.2326879015910356e-87,0.9740777371856735
Selection 1,PAGA/DPT,True,34,WBGene00010864,xbx-3,0.6226973945559672,0.6226973945559672,0.6784615241528981,4.823491318573358e-83,0.9740777371856735
Selection 1,PAGA/DPT,True,35,WBGene00021254,Y22D7AL.16,0.6214890372810183,0.6214890372810183,0.6819048447579144,3.24986978478117e-84,0.9740777371856735
Selection 1,PAGA/DPT,True,36,WBGene00003745,nlp-7,0.6152945766744987,0.6152945766744987,0.6545134364341912,2.56379040535707e-75,0.9740777371856735
Selection 1,PAGA/DPT,True,37,WBGene00001753,gst-5,0.599107380617302,0.599107380617302,0.6551719447409297,1.632235317595786e-75,0.9740777371856735
Selection 1,PAGA/DPT,True,38,WBGene00016321,tppp-1,0.5985822145541353,0.5985822145541353,0.6467300920725173,6.047912382117537e-73,0.9740777371856735
Selection 1,PAGA/DPT,True,39,WBGene00011545,T06G6.3,0.5865371979411853,0.5865371979411853,0.6388472029987021,1.2116791136146265e-70,0.9740777371856735
Selection 1,PAGA/DPT,True,40,WBGene00005585,sri-73,0.5721408676987911,0.5721408676987911,0.6331995036496846,5.150264075103446e-69,0.9740777371856735
Selection 1,PAGA/DPT,True,41,WBGene00011644,T09B9.3,0.5562158810998451,0.5562158810998451,0.608422786582593,2.8901491068109252e-62,0.9740777371856735
Selection 1,PAGA/DPT,True,42,WBGene00269432,ZC132.11,0.5519750597236894,0.5519750597236894,0.5972127229551932,1.9776575962489257e-59,0.9740777371856735
Selection 1,PAGA/DPT,True,43,WBGene00001992,hot-7,0.5512649849993375,0.5512649849993375,0.601696193126637,1.4800094550662468e-60,0.9740777371856735
Selection 1,PAGA/DPT,True,44,WBGene00018736,F53B1.3,0.542930575510615,0.542930575510615,0.6034231842834697,5.4922316530465054e-61,0.9740777371856735
Selection 1,PAGA/DPT,True,45,WBGene00008018,tbc-8,0.542416606225652,0.542416606225652,0.5854726448339442,1.4392662465811208e-56,0.9740777371856735
Selection 1,PAGA/DPT,True,46,WBGene00005647,srp-6,0.5375131337886667,0.5375131337886667,0.573810374787508,7.650779715723107e-54,0.9740777371856735
Selection 1,PAGA/DPT,True,47,WBGene00022391,Y95B8A.12,0.5328975631863763,0.5328975631863763,0.5652652537801961,6.591995592606603e-52,0.9740777371856735
Selection 1,PAGA/DPT,True,48,WBGene00010290,F58H1.7,0.5273285370583946,0.5273285370583946,0.5588826520671576,1.6552517076615295e-50,0.9740777371856735
Selection 1,PAGA/DPT,True,49,WBGene00077536,F38B7.10,0.5203327120923614,0.5203327120923614,0.5625006902702471,2.690195820499868e-51,0.9740777371856735
Selection 1,PAGA/DPT,True,50,WBGene00044144,M153.4,0.5154279121370382,0.5154279121370382,0.5566990744730489,4.793384742650167e-50,0.9740777371856735
Selection 1,PAGA/DPT,True,51,WBGene00010144,F56C4.1,0.5148686934190071,0.5148686934190071,0.5759875662087405,2.466190123375577e-54,0.9740777371856735
Selection 1,PAGA/DPT,True,52,WBGene00004345,rgs-2,0.5127658787422569,0.5127658787422569,0.5604894293543253,7.379432169913365e-51,0.9740777371856735
Selection 1,PAGA/DPT,True,53,WBGene00007751,C26G2.2,0.5121760117659986,0.5121760117659986,0.5679622953809662,1.6518158336504732e-52,0.9740777371856735
Selection 1,PAGA/DPT,True,54,WBGene00015411,srz-60,0.5086478666608882,0.5086478666608882,0.5663124020370748,3.867298413331634e-52,0.9740777371856735
Selection 1,PAGA/DPT,True,55,WBGene00017813,F26A10.1,0.5054709439054422,0.5054709439054422,0.5534302568696566,2.3745892182208786e-49,0.9740777371856735
Selection 1,PAGA/DPT,True,56,WBGene00005399,srh-184,0.4995742861348164,0.4995742861348164,0.5606321078519032,6.935927075576635e-51,0.9740777371856735
Selection 1,Slingshot,True,1,WBGene00016561,eri-6,0.8887650818128008,0.8887650818128008,0.8207930740910718,1.4887126599465768e-149,0.9396640991208559
Selection 1,Slingshot,True,2,WBGene00007883,C33A12.4,0.8859786588181304,0.8859786588181304,0.7905783581063837,2.0160278102041786e-131,0.9396640991208559
Selection 1,Slingshot,True,3,WBGene00017326,dmd-5,-0.8579736664137962,-0.8579736664137962,-0.8135211514470062,5.1921484190414836e-145,0.9396640991208559
Selection 1,Slingshot,True,4,WBGene00007604,xbx-9,0.8412349177293611,0.8412349177293611,0.7709055127208622,3.8632889303693574e-121,0.9396640991208559
Selection 1,Slingshot,True,5,WBGene00022144,pghm-1,0.8102754808023326,0.8102754808023326,0.7741969658364043,8.248528524192249e-123,0.9396640991208559
Selection 1,Slingshot,True,6,WBGene00006063,sto-1,-0.7932417032083324,-0.7932417032083324,-0.7798679579796917,1.2596626440761153e-125,0.9396640991208559
Selection 1,Slingshot,True,7,WBGene00015354,snet-1,0.7842271956835284,0.7842271956835284,0.8042704106171079,2.5248680771715888e-139,0.9396640991208559
Selection 1,Slingshot,True,8,WBGene00010236,F58B4.3,0.7794984059597705,0.7794984059597705,0.7984862414449109,6.108718501880996e-136,0.9396640991208559
Selection 1,Slingshot,True,9,WBGene00018352,fbxc-20,-0.774466322248665,-0.774466322248665,-0.7351361399361176,1.881279289143629e-104,0.9396640991208559
Selection 1,Slingshot,True,10,WBGene00008840,F15A4.5,0.7735845564356314,0.7735845564356314,0.7843959782744859,4.973931250295033e-128,0.9396640991208559
Selection 1,Slingshot,True,11,WBGene00012853,Y44A6D.2,0.7616871137923671,0.7616871137923671,0.7492758731561799,1.0395417360997921e-110,0.9396640991208559
Selection 1,Slingshot,True,12,WBGene00010559,K04D7.6,0.7557440506865012,0.7557440506865012,0.7747811595809693,4.4825601046291254e-123,0.9396640991208559
Selection 1,Slingshot,True,13,WBGene00249817,F42G8.19,0.7500161080995398,0.7500161080995398,0.662515044026564,1.1214290248058112e-77,0.9396640991208559
Selection 1,Slingshot,True,14,WBGene00000458,ceh-37,-0.747126817670324,-0.747126817670324,-0.6155202963378608,4.475164846579211e-64,0.9396640991208559
Selection 1,Slingshot,True,15,WBGene00011289,R102.2,0.7449005075058687,0.7449005075058687,0.7579761682041222,8.575933726285086e-115,0.9396640991208559
Selection 1,Slingshot,True,16,WBGene00010575,flp-25,0.7443775569956793,0.7443775569956793,0.7701756042996181,8.456044202411232e-121,0.9396640991208559
Selection 1,Slingshot,True,17,WBGene00019039,fbxb-18,-0.7394520289089258,-0.7394520289089258,-0.6136446183302552,1.397542503124998e-63,0.9396640991208559
Selection 1,Slingshot,True,18,WBGene00001898,his-24,-0.7338240412320495,-0.7338240412320495,-0.670402246360187,3.3474166723525113e-80,0.9396640991208559
Selection 1,Slingshot,True,19,WBGene00008447,E01G4.5,-0.7289311284956804,-0.7289311284956804,-0.624542854283108,1.6891460640141708e-66,0.9396640991208559
Selection 1,Slingshot,True,20,WBGene00010239,F58B4.6,0.7257035002448528,0.7257035002448528,0.7349236323829501,2.209172969428492e-104,0.9396640991208559
Selection 1,Slingshot,True,21,WBGene00019040,fbxb-19,-0.7223185245688661,-0.7223185245688661,-0.6752484065367731,8.383788788947593e-82,0.9396640991208559
Selection 1,Slingshot,True,22,WBGene00000468,ces-1,-0.7154443387951295,-0.7154443387951295,-0.5925452955278397,2.9829790225388848e-58,0.9396640991208559
Selection 1,Slingshot,True,23,WBGene00235158,Y37E3.30,-0.712615718953596,-0.712615718953596,-0.5982195459641783,1.2034828156329215e-59,0.9396640991208559
Selection 1,Slingshot,True,24,WBGene00017236,F08B4.4,0.6946496166766121,0.6946496166766121,0.6638941210126996,4.1657504710667895e-78,0.9396640991208559
Selection 1,Slingshot,True,25,WBGene00019324,K02F2.5,0.6842126994673352,0.6842126994673352,0.7027050841934475,1.9365453053363828e-91,0.9396640991208559
Selection 1,Slingshot,True,26,WBGene00009144,del-3,0.6768336774100199,0.6768336774100199,0.6362377612894015,8.834557441213767e-70,0.9396640991208559
Selection 1,Slingshot,True,27,WBGene00017671,pgal-1,0.6728519772992972,0.6728519772992972,0.6912007982333908,2.984089479308919e-87,0.9396640991208559
Selection 1,Slingshot,True,28,WBGene00004207,ptb-1,0.6619683481057925,0.6619683481057925,0.5742865906502616,6.001115775904474e-54,0.9396640991208559
Selection 1,Slingshot,True,29,WBGene00001854,hil-3,-0.6497433192624416,-0.6497433192624416,-0.5911954280544709,6.250964145810292e-58,0.9396640991208559
Selection 1,Slingshot,True,30,WBGene00018213,F39H12.2,0.6476690617801657,0.6476690617801657,0.6585824614860074,1.8841100949776943e-76,0.9396640991208559
Selection 1,Slingshot,True,31,WBGene00004926,snt-6,0.6472263777314697,0.6472263777314697,0.5461149128216658,9.07770813058389e-48,0.9396640991208559
Selection 1,Slingshot,True,32,WBGene00016016,C23G10.10,0.6432895569614502,0.6432895569614502,0.6548763778350644,2.654060578625886e-75,0.9396640991208559
Selection 1,Slingshot,True,33,WBGene00017150,EGAP5.1,0.6361733458957213,0.6361733458957213,0.6452385641698505,2.153783086900242e-72,0.9396640991208559
Selection 1,Slingshot,True,34,WBGene00009716,F44G4.7,0.626336312779557,0.626336312779557,0.6076389748758718,4.944066270960523e-62,0.9396640991208559
Selection 1,Slingshot,True,35,WBGene00019269,H41C03.2,0.6248412886016607,0.6248412886016607,0.6275487726019094,2.495759683471286e-67,0.9396640991208559
