gene,gene_short_name,dpt_correlation,p_value,q_value,abs_correlation
WBGene00004332,rec-1,-0.05915836634817948,3.212201946493303e-06,9.17318763979181e-06,0.05915836634817948
WBGene00001817,haf-7,0.059156316639721124,3.2147236361593435e-06,9.178770078767781e-06,0.059156316639721124
WBGene00017593,F19C7.3,-0.059140804856013515,3.2338689148802673e-06,9.23060356717014e-06,0.059140804856013515
WBGene00000001,aap-1,-0.059140684681344535,3.234017665301149e-06,9.23060356717014e-06,0.059140684681344535
WBGene00010950,srt-44,0.059128893543474226,3.248644506140011e-06,9.270717631903254e-06,0.059128893543474226
WBGene00007429,C08B6.8,-0.059125060512951175,3.2534130059453867e-06,9.282689584540564e-06,0.059125060512951175
WBGene00020964,polq-1,-0.059121249538066085,3.2581607205639022e-06,9.294598024554388e-06,0.059121249538066085
WBGene00022707,ZK354.6,0.05911198780545801,3.2697266991910455e-06,9.325949394627692e-06,0.05911198780545801
WBGene00018958,F56C11.6,0.059107494800709044,3.2753516994203454e-06,9.340347783905289e-06,0.059107494800709044
WBGene00002042,hus-1,0.05910568054135617,3.277625683281914e-06,9.345186663796576e-06,0.05910568054135617
WBGene00011366,T02C1.2,-0.059104879476205616,3.2786302161361514e-06,9.346405010506437e-06,0.059104879476205616
WBGene00044501,C55C3.8,0.05904601520928315,3.353259116486121e-06,9.557467279377447e-06,0.05904601520928315
WBGene00016168,C27F2.6,0.05903063012132178,3.373031392676079e-06,9.612130290427854e-06,0.05903063012132178
WBGene00001757,gst-9,0.05902658650741923,3.3782465978832894e-06,9.625298066677146e-06,0.05902658650741923
WBGene00013708,Y106G6E.4,-0.059009218945281175,3.400734254283128e-06,9.687665208541942e-06,0.059009218945281175
WBGene00044411,R12B2.8,0.059006227381172664,3.404622215846773e-06,9.69703481424643e-06,0.059006227381172664
WBGene00019196,H14A12.3,0.058998428172757085,3.414778440068517e-06,9.724014090344633e-06,0.058998428172757085
WBGene00007776,dmd-4,0.05899803154438428,3.4152957097202276e-06,9.724014090344633e-06,0.05899803154438428
WBGene00022354,Y82E9BR.22,-0.0589949065428449,3.419373862112362e-06,9.73391377906529e-06,0.0589949065428449
WBGene00002348,myo-1,0.05898965302795103,3.4262402650829675e-06,9.75174589070547e-06,0.05898965302795103
WBGene00001540,gcy-14,0.05897299807766278,3.4480959620690802e-06,9.812226681515386e-06,0.05897299807766278
WBGene00017063,mctp-1,0.05895470563763664,3.4722544782924475e-06,9.879238185294555e-06,0.05895470563763664
WBGene00005078,src-2,-0.05895064407341641,3.4776404885841765e-06,9.892824102451684e-06,0.05895064407341641
WBGene00018788,shc-1,0.05893946252731803,3.4925096610053937e-06,9.933377205515429e-06,0.05893946252731803
WBGene00021423,tftc-1,-0.058909282157864645,3.5329482586026555e-06,1.0046627713961046e-05,0.058909282157864645
WBGene00004051,parg-1,-0.05890391162912845,3.5401910989818168e-06,1.006545641347034e-05,0.05890391162912845
WBGene00000532,clh-5,-0.05889972400954496,3.545848510056617e-06,1.0079771607239597e-05,0.05889972400954496
WBGene00008408,D2023.4,-0.058892851549288826,3.555151887216834e-06,1.0104444331721077e-05,0.058892851549288826
WBGene00016571,C41H7.1,-0.058888703197565645,3.560778907777048e-06,1.0118661297775703e-05,0.058888703197565645
WBGene00018364,dagl-2,-0.0588155935624076,3.6613605367774515e-06,1.0402658328040093e-05,0.0588155935624076
WBGene00013596,nyn-2,-0.058789998023958366,3.697213239376355e-06,1.0501288022012465e-05,0.058789998023958366
WBGene00009958,madd-4,0.058789885406919797,3.697371727611973e-06,1.0501288022012465e-05,0.058789885406919797
WBGene00007476,C09E9.1,0.05878599470449003,3.702851192054426e-06,1.0515006401568794e-05,0.05878599470449003
WBGene00016860,cyp-33C9,0.05876390207214432,3.73411318973746e-06,1.0601921930252317e-05,0.05876390207214432
WBGene00015180,B0416.4,0.05875147337786721,3.751811330559285e-06,1.0650303131910228e-05,0.05875147337786721
WBGene00019836,R02F2.7,-0.05874414845095072,3.7622794597817806e-06,1.0678147066220262e-05,0.05874414845095072
WBGene00001386,far-2,0.05872538439090079,3.7892232261082333e-06,1.0752734398377938e-05,0.05872538439090079
WBGene00012121,T28C6.7,-0.058712593243758035,3.807696234620026e-06,1.080326220973672e-05,0.058712593243758035
WBGene00015779,lrch-1,-0.058711232601644375,3.8096663485286625e-06,1.0806958219231973e-05,0.058711232601644375
WBGene00015539,C06E7.2,0.05868460897764886,3.848412616661223e-06,1.0914802102299531e-05,0.05868460897764886
WBGene00012724,sre-48,0.05868418573106149,3.849031620808444e-06,1.0914802102299531e-05,0.05868418573106149
WBGene00018203,F39F10.3,-0.058681946217701175,3.852308529349702e-06,1.0922181703244681e-05,0.058681946217701175
WBGene00004771,sem-2,-0.058664689293323684,3.877649092609136e-06,1.0992103310141303e-05,0.058664689293323684
WBGene00006771,tln-1,-0.0586501419840933,3.899134790839428e-06,1.1051074835160514e-05,0.0586501419840933
WBGene00018765,mpc-2,-0.05864445478358212,3.907565500168501e-06,1.1073031252840108e-05,0.05864445478358212
WBGene00021876,Y54G2A.11,0.058638933254646225,3.9157673281914615e-06,1.109433150972461e-05,0.058638933254646225
WBGene00009514,F37H8.5,-0.05862984316719706,3.9293059356269414e-06,1.1130742076569529e-05,0.05862984316719706
WBGene00004420,rpl-9,0.058628139248771714,3.9318487070763075e-06,1.1135996897844948e-05,0.058628139248771714
WBGene00009329,F32D8.4,-0.05862577079122649,3.935385794981697e-06,1.11440655460552e-05,0.05862577079122649
WBGene00014848,VM106R.1,0.05861508001427346,3.951389530366986e-06,1.1187427745357973e-05,0.05861508001427346
WBGene00004400,rom-1,-0.058593875287179485,3.9833170073422284e-06,1.1275851220784153e-05,0.058593875287179485
WBGene00017262,F08F3.4,0.058565036042762995,4.02713653190041e-06,1.1397901542480587e-05,0.058565036042762995
WBGene00013164,Y53F4B.18,-0.05855405937040945,4.043935984882721e-06,1.1443448351489167e-05,0.05855405937040945
WBGene00002098,ins-15,0.05853516123787557,4.073016418970652e-06,1.1523725643189377e-05,0.05853516123787557
WBGene00017301,hach-1,-0.05851227808382554,4.108497238086685e-06,1.1622080237438785e-05,0.05851227808382554
WBGene00020645,T21D9.2,0.058510750628655114,4.110876103163136e-06,1.1626778316579475e-05,0.058510750628655114
WBGene00011427,T04C12.1,0.05850682797600845,4.116991306528559e-06,1.1642040383393367e-05,0.05850682797600845
WBGene00044432,W03G9.9,0.058494806467691736,4.135786518218841e-06,1.1693147425004274e-05,0.058494806467691736
WBGene00005395,srh-180,0.05846064304304115,4.189649683723467e-06,1.184336726236913e-05,0.05846064304304115
WBGene00022015,Y61A9LA.3,-0.05844797701279519,4.209789612035404e-06,1.1898221923211252e-05,0.05844797701279519
WBGene00000497,chs-2,0.05843873814541236,4.22453856237385e-06,1.1937823455838984e-05,0.05843873814541236
WBGene00009995,F53F4.13,0.05840662734832166,4.276186296381269e-06,1.20816626262442e-05,0.05840662734832166
WBGene00015913,C17F4.7,0.05839244377844271,4.299191573363175e-06,1.2144541164671412e-05,0.05839244377844271
WBGene00012712,ttm-1,-0.05838057189629211,4.318538474610236e-06,1.2197065233017434e-05,0.05838057189629211
WBGene00000114,alh-8,-0.05836400276554704,4.345679677869641e-06,1.227158098082756e-05,0.05836400276554704
WBGene00017515,F16F9.4,0.05835865050808705,4.354481849305295e-06,1.2294292956225169e-05,0.05835865050808705
WBGene00022471,Y119C1B.5,-0.05832368870247421,4.412400579196828e-06,1.2455646823283655e-05,0.05832368870247421
WBGene00021111,W09C3.3,0.05831442893415704,4.427863742374463e-06,1.2497118653743646e-05,0.05831442893415704
WBGene00018044,F35D11.3,0.05831234026199129,4.431358845822366e-06,1.2504803491034462e-05,0.05831234026199129
WBGene00005591,srj-1,0.05828483545433235,4.477631563219497e-06,1.2631694647000221e-05,0.05828483545433235
WBGene00021456,Y39F10B.1,0.058284685073050096,4.477885824714753e-06,1.2631694647000221e-05,0.058284685073050096
WBGene00006499,tag-153,-0.05824563670566462,4.544378075451477e-06,1.2817030098887009e-05,0.05824563670566462
WBGene00020102,R148.3,-0.05824403844107918,4.547119674211729e-06,1.2822529042987863e-05,0.05824403844107918
WBGene00018222,F40A3.7,0.05824249610772766,4.549766832663746e-06,1.2827759804020788e-05,0.05824249610772766
WBGene00004985,spo-11,-0.05823828704017284,4.556998508710415e-06,1.2845912230682284e-05,0.05823828704017284
WBGene00014227,ZK1128.1,-0.05823707217485892,4.5590878374998036e-06,1.2849564885082126e-05,0.05823707217485892
WBGene00007771,C27C12.1,-0.058198665231736536,4.625615199088978e-06,1.303480008765206e-05,0.058198665231736536
WBGene00022283,lgc-27,0.05817580381116357,4.665655417111839e-06,1.3145344094984323e-05,0.05817580381116357
WBGene00005941,srx-50,0.05816240750691527,4.689272141765527e-06,1.3209584989468931e-05,0.05816240750691527
WBGene00007702,C24H11.5,-0.05815657130295484,4.6995967137755265e-06,1.3236366322743664e-05,0.05815657130295484
WBGene00004273,rab-10,-0.058117593681715034,4.76911056674265e-06,1.3429815355947303e-05,0.058117593681715034
WBGene00008839,sre-37,0.05810251199217031,4.796271006208251e-06,1.3503950640327594e-05,0.05810251199217031
WBGene00021928,Y55F3AM.11,0.05807043152951024,4.854537797742152e-06,1.3665625177510593e-05,0.05807043152951024
WBGene00044303,hst-3.2,-0.05804073440492134,4.909079447242595e-06,1.3816758979619693e-05,0.05804073440492134
WBGene00008411,mans-1,-0.058027026621321566,4.934452584870479e-06,1.3885758820685227e-05,0.058027026621321566
WBGene00012167,tofu-5,-0.058024528819857646,4.939089525416983e-06,1.3896392284196662e-05,0.058024528819857646
WBGene00013234,fbxb-24,-0.058022238438984346,4.943345075068903e-06,1.3905949175732397e-05,0.058022238438984346
WBGene00018071,F35H10.6,-0.05800914379149105,4.967742548071387e-06,1.3972153437271477e-05,0.05800914379149105
WBGene00020026,R12C12.6,-0.05798368338843108,5.015509845473656e-06,1.410405269501727e-05,0.05798368338843108
WBGene00009231,ceh-89,0.057982458804772354,5.017818385491523e-06,1.410809433892668e-05,0.057982458804772354
WBGene00001454,flp-11,0.057980498620276974,5.021515770769626e-06,1.4116038777830171e-05,0.057980498620276974
WBGene00016682,C45G9.11,0.057971619470118536,5.038296702889688e-06,1.4160753378439476e-05,0.057971619470118536
WBGene00021213,Y18H1A.9,0.05797021918794454,5.040948028161458e-06,1.4165746350571038e-05,0.05797021918794454
WBGene00020375,pigv-1,-0.05795914599877441,5.0619613477387665e-06,1.4222328325973644e-05,0.05795914599877441
WBGene00013201,dus-2,-0.05793641371333282,5.105362946858698e-06,1.4341782934687028e-05,0.05793641371333282
WBGene00003472,mtk-1,-0.057926010124739025,5.125344611129798e-06,1.4395417162777743e-05,0.057926010124739025
WBGene00017974,vps-41,-0.0579214326408714,5.1341600588832195e-06,1.441767597527525e-05,0.0579214326408714
WBGene00001843,hgo-1,0.057850214540802566,5.273197768059463e-06,1.4805551978570976e-05,0.057850214540802566
