selection,gene,gene_short_name,scsketch_correlation,abs_scsketch_correlation,orientation_adjusted_scsketch_correlation,paga_dpt_correlation,same_direction_orientation_adjusted,scsketch_p_value,q_value
Selection 3,WBGene00003890,osm-10,0.7776495410318249,0.7776495410318249,0.7776495410318249,0.8714685128554935,True,5.247063311353028e-99,1.2626450158966997e-190
Selection 3,WBGene00010848,M04B2.6,0.7748572582096437,0.7748572582096437,0.7748572582096437,0.8699394180313489,True,7.257147721965858e-98,3.1990641986684446e-189
Selection 3,WBGene00000468,ces-1,-0.8426169526859847,0.8426169526859847,-0.8426169526859847,-0.847569638015579,True,2.18859112765214e-131,1.5705497356823036e-169
Selection 3,WBGene00019324,K02F2.5,0.7535032561463731,0.7535032561463731,0.7535032561463731,0.8291617619602792,True,1.1830331549506477e-89,1.2517536443955837e-155
Selection 3,WBGene00017671,pgal-1,0.722529761166961,0.722529761166961,0.722529761166961,0.8139391635222686,True,3.9139240623687416e-79,2.2240308793871144e-145
Selection 3,WBGene00006063,sto-1,-0.6913021891157933,0.6913021891157933,-0.6913021891157933,-0.7984273045388549,True,6.918579834282859e-70,8.185585760346539e-136
Selection 3,WBGene00002085,ins-2,-0.8473933642588372,0.8473933642588372,-0.8473933642588372,-0.7965275408093532,True,2.449865606983222e-134,1.0109784258366576e-134
Selection 3,WBGene00249817,F42G8.19,0.7113451736001233,0.7113451736001233,0.7113451736001233,0.7840099526080343,True,1.1129900432086796e-75,1.2020482476098683e-127
Selection 3,WBGene00022144,pghm-1,0.7158217926270573,0.7158217926270573,0.7158217926270573,0.7763822365307957,True,4.8319767478149436e-77,1.2102224652779578e-123
Selection 3,WBGene00006985,zig-8,0.6747634131355175,0.6747634131355175,0.6747634131355175,0.7725737554188722,True,1.8844466507264434e-65,1.0208583414605377e-121
Selection 3,WBGene00001898,his-24,-0.7686386496892744,0.7686386496892744,-0.7686386496892744,-0.7646000556995586,True,2.2051857706824088e-95,9.831131860729264e-118
Selection 3,WBGene00004207,ptb-1,0.7016811948998747,0.7016811948998747,0.7016811948998747,0.7584164785487421,True,7.952038165997066e-73,9.9542087555702e-115
Selection 3,WBGene00009901,F49E12.8,0.6497329216610847,0.6497329216610847,0.6497329216610847,0.7448799931245762,True,2.9020294949679177e-59,1.8804792741970705e-108
Selection 3,WBGene00011289,R102.2,0.6701998022327849,0.6701998022327849,0.6701998022327849,0.7364310991337146,True,2.8086194262578204e-64,9.318591437112523e-105
Selection 3,WBGene00012853,Y44A6D.2,0.6830206133692848,0.6830206133692848,0.6830206133692848,0.720768436147239,True,1.2521471874678464e-67,2.934246630080394e-98
Selection 3,WBGene00194921,ZK742.7,0.6212801010545093,0.6212801010545093,0.6212801010545093,0.7094444115603961,True,6.642111153943489e-53,8.009922711584865e-94
Selection 3,WBGene00012382,ttr-16,0.6489890838078151,0.6489890838078151,0.6489890838078151,0.706522896233567,True,4.34173617420012e-59,9.564805667646498e-93
Selection 3,WBGene00005655,srr-4,0.6168564079774034,0.6168564079774034,0.6168564079774034,0.6965693678483214,True,5.661700869637833e-52,4.681119142613308e-89
Selection 3,WBGene00010239,F58B4.6,0.6143766559305498,0.6143766559305498,0.6143766559305498,0.674419370692235,True,1.8543217858439498e-51,2.225805480439375e-81
Selection 3,WBGene00004921,snt-1,0.5899557442139005,0.5899557442139005,0.5899557442139005,0.6720314665635937,True,1.2795178223567211e-46,1.3314122819395794e-80
Selection 3,WBGene00001854,hil-3,-0.6929824162320763,0.6929824162320763,-0.6929824162320763,-0.6626274868985069,True,2.3584509082490743e-70,1.449717630824985e-77
Selection 3,WBGene00006778,unc-42,0.6665947206653973,0.6665947206653973,0.6665947206653973,0.6391701447928526,True,2.2943397722182624e-63,1.9540129280143996e-70
