gene,gene_short_name,correlation,p-value,discovery_score
WBGene00001587,ggr-2,0.22799947599036657,4.0908872328055843e-07,0
WBGene00001182,egl-13,0.22780112671187694,4.1891899745939945e-07,0
WBGene00020385,nhr-216,0.22742804313239273,4.3802816602550525e-07,0
WBGene00014233,ZK1128.7,0.22732350772328672,4.435310228847111e-07,0
WBGene00022615,ZC449.5,0.22622713542373935,5.05398099003535e-07,0
WBGene00016044,C24B5.1,0.22235886222746098,7.969788454631645e-07,0
WBGene00017858,F27C1.11,0.22088908469746488,9.455450214888681e-07,0
WBGene00044551,ZK105.8,0.2197770135153931,1.0752594337139783e-06,0
WBGene00011517,cgt-1,0.21909104869796425,1.1636092354783452e-06,0
WBGene00004300,ram-2,0.2181914251199643,1.2900768332188522e-06,0
WBGene00008555,F07C6.4,0.2180912344976004,1.3049508222074071e-06,0
WBGene00002272,lec-9,0.21744672785854788,1.4046372782457924e-06,0
WBGene00016099,C25E10.10,0.21703069158639432,1.4728199571180414e-06,0
WBGene00001788,gst-40,0.2169780126557289,1.4816762856949897e-06,0
WBGene00006583,tnc-2,0.21579600153160625,1.6943544482004503e-06,0
WBGene00008208,nhr-167,0.21574696815990338,1.7037805397280362e-06,0
WBGene00010468,K01D12.9,0.2156051681914487,1.7313234965655168e-06,0
WBGene00016093,srsx-34,0.2154087337388044,1.7701841635790432e-06,0
WBGene00195073,F02E11.7,0.21508378853661625,1.8363089595648972e-06,0
WBGene00015716,sox-4,0.214692189433978,1.9191435615216134e-06,0
WBGene00044232,C18D11.7,0.21442079477941728,1.978638271646745e-06,0
WBGene00013897,ZC443.2,0.21403571327267995,2.066094164155973e-06,0
WBGene00002189,kin-1,0.21354667869973842,2.1825028951526416e-06,0
WBGene00001135,eat-4,0.21180301246968528,2.650815626479733e-06,0
WBGene00008589,nlp-57,0.21167911994289404,2.6875176772564402e-06,0
WBGene00019732,M02D8.6,0.2116133974212579,2.707184233382547e-06,0
